product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,variant_id,variant_sku,size,confidence,source,link,selected_for_apply
online:pt:BR:DR8867400,DR8867400,Tênis Nike Air Jordan 1 Low SE Craft Inside Out Obsidian Azul,Tênis Nike Air Jordan 1 Low SE Craft Inside Out Obsidian Azul - Tamanho 37,Tênis Nike Air Jordan 1 Low SE Craft Inside Out Obsidian Azul,46704136585438,DR8867400,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-air-jordan-1-low-se-craft-inside-out-obsidian-azul?currency=BRL&country=BR&variant=46704136585438&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:a0590u_04-8,a0590u_04-8,Tênis Alo Yoga ALO Runner Espresso Marrom,Tênis Alo Yoga ALO Runner Espresso Marrom - Tamanho 41,Tênis Alo Yoga ALO Runner Espresso Marrom,47433199452382,a0590u_04-8,41,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-alo-yoga-alo-runner-espresso-marrom?currency=BRL&country=BR&variant=47433199452382&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DD1391401-39.5,DD1391401-39.5,Tênis Nike Dunk Low Racer Blue Azul,Tênis Nike Dunk Low Racer Blue Azul - Tamanho 39.5,Tênis Nike Dunk Low Racer Blue Azul,44265030844638,DD1391401-39.5,39.5,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-dunk-low-racer-blue?currency=BRL&country=BR&variant=44265030844638&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FZ8320400-9,FZ8320400-9,Tênis The Powerpuff Girls x Nike SB Dunk Low Bubbles Azul,Tênis The Powerpuff Girls x Nike SB Dunk Low Bubbles Azul - Tamanho 43,Tênis The Powerpuff Girls x Nike SB Dunk Low Bubbles Azul,44631314170078,FZ8320400-9,43,alta,shopify_public_product_js,https://lksneakers.com.br/products/the-powerpuff-girls-x-nike-sb-dunk-low-bubbles?currency=BRL&country=BR&variant=44631314170078&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:43774078388010,43774078388010,Tênis New Balance 9060 Garter Snake Pearl Grey Verde,Tênis New Balance 9060 Garter Snake Pearl Grey Verde - Tamanho 39,Tênis New Balance 9060 Garter Snake Pearl Grey Verde,47460671258846,43774078388010,39,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-9060-garter-snake-pearl-grey-verde?currency=BRL&country=BR&variant=47460671258846&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:U204LMMA-11,U204LMMA-11,Tênis New Balance 204L Mushroom Arid Stone Marrom,Tênis New Balance 204L Mushroom Arid Stone Marrom - Tamanho 44,Tênis New Balance 204L Mushroom Arid Stone Marrom,47554946924766,U204LMMA-11,44,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-204l-mushroom-arid-stone-marrom?currency=BRL&country=BR&variant=47554946924766&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:HF6061-400-6,HF6061-400-6,Tênis Nike Sb Dunk Low x Futura Skateboard Bleached Aqua Azul,Tênis Nike Sb Dunk Low x Futura Skateboard Bleached Aqua Azul - Tamanho 41,Tênis Nike Sb Dunk Low x Futura Skateboard Bleached Aqua Azul,45389636010206,HF6061-400-6,41,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-sb-dunk-low-x-futura-skateboard-bleached-aqua-azul?currency=BRL&country=BR&variant=45389636010206&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1183C141-100-4,1183C141-100-4,Tênis Onitsuka Tiger Mexico 66 Slip-On White Branco,Tênis Onitsuka Tiger Mexico 66 Slip-On White Branco - Tamanho 37,Tênis Onitsuka Tiger Mexico 66 Slip-On White Branco,46478597292254,1183C141-100-4,37,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-slip-on-white-branco?variant=46478597292254,True
online:pt:BR:U9060HSA-2,U9060HSA-2,Tênis New Balance 9060 Quartz Grey Cinza,Tênis New Balance 9060 Quartz Grey Cinza - Tamanho 35,Tênis New Balance 9060 Quartz Grey Cinza,47583470289118,U9060HSA-2,35,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-9060-quartz-grey-cinza?currency=BRL&country=BR&variant=47583470289118&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:43774078387780,43774078387780,Tênis Adidas Samba Jane Cream Black Gum Bege,Tênis Adidas Samba Jane Cream Black Gum Bege - Tamanho 36,Tênis Adidas Samba Jane Cream Black Gum Bege,47460636786910,43774078387780,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-samba-jane-cream-black-gum-bege?currency=BRL&country=BR&variant=47460636786910&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:HV5992111-5,HV5992111-5,Tênis Nike Air Force 1 Low Valentine's Day (2025) Branco,Tênis Nike Air Force 1 Low Valentine's Day (2025) Branco - Tamanho 38,Tênis Nike Air Force 1 Low Valentine's Day (2025) Branco,46236612264158,HV5992111-5,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-air-force-1-low-valentines-day-2025?currency=BRL&country=BR&variant=46236612264158&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:Ih5373-4,Ih5373-4,Tênis adidas Handball Spezial Lucid Blue Pink Azul,Tênis adidas Handball Spezial Lucid Blue Pink Azul - Tamanho 37,Tênis adidas Handball Spezial Lucid Blue Pink Azul,45775355445470,Ih5373-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-handball-spezial-lucid-blue-pink-azul?currency=BRL&country=BR&variant=45775355445470&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1183A872.106-6,1183A872.106-6,Tênis Onitsuka Tiger Mexico 66 SD White/Rose Gold Branco,Tênis Onitsuka Tiger Mexico 66 SD White/Rose Gold Branco - Tamanho 39,Tênis Onitsuka Tiger Mexico 66 SD White/Rose Gold Branco,47422835654878,1183A872.106-6,39,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-sd-white-rose-gold-branco?currency=BRL&country=BR&variant=47422835654878&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FJ2260-001-3,FJ2260-001-3,Tênis Nike Dunk Low Lx Brown Ostrich Marrom,Tênis Nike Dunk Low Lx Brown Ostrich Marrom - Tamanho 36,Tênis Nike Dunk Low Lx Brown Ostrich Marrom,44837662359774,FJ2260-001-3,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-dunk-low-lx-brown-ostrich-marrom?currency=BRL&country=BR&variant=44837662359774&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FJ2260-001-2,FJ2260-001-2,Tênis Nike Dunk Low Lx Brown Ostrich Marrom,Tênis Nike Dunk Low Lx Brown Ostrich Marrom - Tamanho 35,Tênis Nike Dunk Low Lx Brown Ostrich Marrom,44837662327006,FJ2260-001-2,35,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-dunk-low-lx-brown-ostrich-marrom?currency=BRL&country=BR&variant=44837662327006&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:JQ4774-6,JQ4774-6,Tênis adidas Taekwondo Cloud White Branco,Tênis adidas Taekwondo Cloud White Branco - Tamanho 39,Tênis adidas Taekwondo Cloud White Branco,46193709711582,JQ4774-6,39,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-taekwondo-cloud-white-branco?currency=BRL&country=BR&variant=46193709711582&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:JI1349-5,JI1349-5,Tênis adidas Sambae Cloud White Silver Metallic Gold Branco,Tênis adidas Sambae Cloud White Silver Metallic Gold Branco - Tamanho 38,Tênis adidas Sambae Cloud White Silver Metallic Gold Branco,45502414815454,JI1349-5,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-sambae-cloud-white-silver-metallic-gold-branco?currency=BRL&country=BR&variant=45502414815454&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:IG5929-7,IG5929-7,Tênis adidas Gazelle Indoor Collegiate Green Verde,Tênis adidas Gazelle Indoor Collegiate Green Verde - Tamanho 35.5,Tênis adidas Gazelle Indoor Collegiate Green Verde,45404008644830,IG5929-7,35.5,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-gazelle-indoor-collegiate-green-verde?currency=BRL&country=BR&variant=45404008644830&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:ALO-2441950-43,ALO-2441950-43,Tênis Alo Yoga Alo Runner Pink Rosa,Tênis Alo Yoga Alo Runner Pink Rosa - Tamanho 43,Tênis Alo Yoga Alo Runner Pink Rosa,47901027795166,ALO-2441950-43,43,alta,shopify_public_product_js,https://lksneakers.com.br/products/alo-runner-sweet-pink-rosa?currency=BRL&country=BR&variant=47901027795166&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DX5549400-38,DX5549400-38,Tênis Why So Sad? x Nike SB Dunk Low The Predatory Bird Azul,Tênis Why So Sad? x Nike SB Dunk Low The Predatory Bird Azul - Tamanho 38,Tênis Why So Sad? x Nike SB Dunk Low The Predatory Bird Azul,44265071116510,DX5549400-38,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/why-so-sad-x-nike-sb-dunk-low-the-predatory-bird?currency=BRL&country=BR&variant=44265071116510&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
