priority,bucket,recommended_action,product_id,channel,offer_id,reconciliation_offer_id,title,source,availability,item_group_id,gtin_present,mpn,exact_sku_match,exact_variant_match,product_id_match,gtin_barcode_match,mpn_match,has_local_and_online_normalized_counterpart,evidence,approval_status
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-605,online,LIA_HQ4307-605,LIA_HQ4307-605,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-606,online,LIA_HQ4307-606,LIA_HQ4307-606,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-607,online,LIA_HQ4307-607,LIA_HQ4307-607,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-608,online,LIA_HQ4307-608,LIA_HQ4307-608,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4307-609,online,LIA_HQ4307-609,LIA_HQ4307-609,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-34,online,LIA_HQ4309-610-34,LIA_HQ4309-610-34,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-35,online,LIA_HQ4309-610-35,LIA_HQ4309-610-35,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-36,online,LIA_HQ4309-610-36,LIA_HQ4309-610-36,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-37,online,LIA_HQ4309-610-37,LIA_HQ4309-610-37,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-38,online,LIA_HQ4309-610-38,LIA_HQ4309-610-38,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-39,online,LIA_HQ4309-610-39,LIA_HQ4309-610-39,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4309-610-40,online,LIA_HQ4309-610-40,LIA_HQ4309-610-40,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-34,online,LIA_HQ4310-002-34,LIA_HQ4310-002-34,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-35,online,LIA_HQ4310-002-35,LIA_HQ4310-002-35,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-36,online,LIA_HQ4310-002-36,LIA_HQ4310-002-36,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-37,online,LIA_HQ4310-002-37,LIA_HQ4310-002-37,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-38,online,LIA_HQ4310-002-38,LIA_HQ4310-002-38,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-39,online,LIA_HQ4310-002-39,LIA_HQ4310-002-39,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-40,online,LIA_HQ4310-002-40,LIA_HQ4310-002-40,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:LIA_HQ4310-002-41,online,LIA_HQ4310-002-41,LIA_HQ4310-002-41,,feed,,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
