old_product_id,old_offer_id,new_product_id,new_offer_id,title,resolution_reason,execution_status,insert_status,delete_status,error_class
online:pt:BR:ALO-1750494-XS,ALO-1750494-XS,,,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-34,ALO-2441950-34,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-35,ALO-2441950-35,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-36,ALO-2441950-36,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-37,ALO-2441950-37,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-38,ALO-2441950-38,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-39,ALO-2441950-39,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-40,ALO-2441950-40,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-41,ALO-2441950-41,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-42,ALO-2441950-42,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-43,ALO-2441950-43,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-2441950-44,ALO-2441950-44,,,Tênis Alo Yoga Alo Runner Pink Rosa,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-3137118-OS,ALO-3137118-OS,,,Boné Alo Yoga Off-Duty Branco,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4485982-L,ALO-4485982-L,,,Calça Alo Yoga Accolade Straight Leg Gravel Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4485982-M,ALO-4485982-M,,,Calça Alo Yoga Accolade Straight Leg Gravel Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4485982-S,ALO-4485982-S,,,Calça Alo Yoga Accolade Straight Leg Gravel Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4485982-XS,ALO-4485982-XS,,,Calça Alo Yoga Accolade Straight Leg Gravel Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4485982-XXS,ALO-4485982-XXS,,,Calça Alo Yoga Accolade Straight Leg Gravel Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4584286-L,ALO-4584286-L,,,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALO-4584286-M,ALO-4584286-M,,,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
