product_id,offer_id,merchant_title,fresh_required_attrs,shopify_match,shopify_product_title,shopify_variant_title,shopify_tags_color,suggested_attributes,evidence,decision_state,apply_allowed_now
online:pt:BR:2669418431140851356,2669418431140851356,Natural,price,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:17533377349709354893,17533377349709354893,Pop Mart Labubu The Monsters Big into Energy Series Happiness Vinyl Plush Pingente,price,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:6666401935644385163,6666401935644385163,Pop Mart Labubu The Monsters Coca-Cola Series Figure Single Blind Box [Lacrado],price,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:601647069162867212,601647069162867212,Pop Mart Labubu The Monsters Tasty Macarons Lychee Berry Vinyl Plush Pingente,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:6061855494363671943,6061855494363671943,Pop Mart Labubu The Monsters Tasty Macarons Sesame Bean Vinyl Plush Pingente,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:15050545522805546621,15050545522805546621,Pop Mart Labubu The Monsters Tasty Macarons Toffee Vinyl Plush Pingente,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-34,DA6672-200-34,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-35,DA6672-200-35,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-36,DA6672-200-36,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-37,DA6672-200-37,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-38,DA6672-200-38,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-39,DA6672-200-39,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-40,DA6672-200-40,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-41,DA6672-200-41,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-42,DA6672-200-42,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-43,DA6672-200-43,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-200-44,DA6672-200-44,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-34,DA6672-700-34,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-35,DA6672-700-35,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-36,DA6672-700-36,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-37,DA6672-700-37,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-38,DA6672-700-38,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-39,DA6672-700-39,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-40,DA6672-700-40,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-41,DA6672-700-41,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-42,DA6672-700-42,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-43,DA6672-700-43,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:DA6672-700-44,DA6672-700-44,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,False,,,,{},{},blocked_no_safe_suggestion,False
