product_id,merchant_title,shopify_variant_title,packet_missing_attributes,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,review_decision_state,review_reasons,apply_allowed_now
online:pt:BR:U9060EEL-1,Tênis New Balance 9060 Pearl Grey Linen Azul,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:UGTR17G-34,Tênis New Balance Gator Run Shadow Red Vermelho,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:43774078390000,Tênis Nike Air Jordan 1 Retro Low Fragment Design x Travis Scott Couro Branco Preto Azul,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:FV5029-010-37,Tênis Nike Air Jordan 4 Retro 'Black Cat' Preto,37,age group; gender; size,age group; gender; size,,,,37,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:IH7971-001-34,Tênis Nike Air Jordan Chase B x Travis Scott x Jumpman Jack TR Black Night Silver Preto,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:IQ8601-001-34,Tênis Nike Air Liquid Max x Fragment Design Black Anthracite Preto,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:DH1348-001-35,Tênis Nike Air Max 1 x Patta Monarch Laranja,35,age group; gender; size,age group; gender; size,,,,35,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HF8814-001-34,Tênis Nike Air Max 90 x Patta SP Cyber Branco,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ3490-099-1,Tênis Nike Cortez SE Tiempo Pack Metallic Cool Grey Cinza,38,age group; gender; size,age group; gender; size,,,,38,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:fz8117-102,Tênis Nike Jordan Jumpman Jack TR Travis Scott Bright Cactus Amarelo,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4310-200-34,Tênis Nike Mind 002 Light Violet Ore Roxo,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4310-100-34,Tênis Nike Mind 002 Sail Bege,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
