old_product_id_deleted,old_offer_id,old_normalized_sku,replacement_local_product_ids_kept,title,package_origin,old_present_preflight,replacement_local_present_preflight,execution_status,delete_status,old_absent_live_verified,replacement_ids_present_live_verified,error_message
local:pt:BR:LIA_REP-7288158-L,LIA_REP-7288158-L,REP-7288158-L,local:pt:BR:LIA_Rep06,Shorts Represent Clo Owners Club Flat White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7288158-M,LIA_REP-7288158-M,REP-7288158-M,local:pt:BR:LIA_Rep06,Shorts Represent Clo Owners Club Flat White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7288158-S,LIA_REP-7288158-S,REP-7288158-S,local:pt:BR:LIA_Rep06,Shorts Represent Clo Owners Club Flat White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7288158-XL,LIA_REP-7288158-XL,REP-7288158-XL,local:pt:BR:LIA_Rep06,Shorts Represent Clo Owners Club Flat White Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7451998-L,LIA_REP-7451998-L,REP-7451998-L,local:pt:BR:LIA_Rep01,Moletom Represent Clo Masking Tape Initial Cedar Marrom,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7451998-M,LIA_REP-7451998-M,REP-7451998-M,local:pt:BR:LIA_Rep01,Moletom Represent Clo Masking Tape Initial Cedar Marrom,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7451998-S,LIA_REP-7451998-S,REP-7451998-S,local:pt:BR:LIA_Rep01,Moletom Represent Clo Masking Tape Initial Cedar Marrom,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_REP-7451998-XL,LIA_REP-7451998-XL,REP-7451998-XL,local:pt:BR:LIA_Rep01,Moletom Represent Clo Masking Tape Initial Cedar Marrom,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2772190-L,LIA_SST-2772190-L,SST-2772190-L,local:pt:BR:LIA_ST34,Camisa Manga Curta Boxy Saint Studio Egípcio Listrada Marinho,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2772190-M,LIA_SST-2772190-M,SST-2772190-M,local:pt:BR:LIA_ST34,Camisa Manga Curta Boxy Saint Studio Egípcio Listrada Marinho,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2772190-S,LIA_SST-2772190-S,SST-2772190-S,local:pt:BR:LIA_ST34,Camisa Manga Curta Boxy Saint Studio Egípcio Listrada Marinho,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2772190-XL,LIA_SST-2772190-XL,SST-2772190-XL,local:pt:BR:LIA_ST34,Camisa Manga Curta Boxy Saint Studio Egípcio Listrada Marinho,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2837726-L,LIA_SST-2837726-L,SST-2837726-L,local:pt:BR:LIA_ST33,Camiseta Boxy Saint Studio Supima Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2837726-M,LIA_SST-2837726-M,SST-2837726-M,local:pt:BR:LIA_ST33,Camiseta Boxy Saint Studio Supima Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2837726-S,LIA_SST-2837726-S,SST-2837726-S,local:pt:BR:LIA_ST33,Camiseta Boxy Saint Studio Supima Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_SST-2837726-XL,LIA_SST-2837726-XL,SST-2837726-XL,local:pt:BR:LIA_ST33,Camiseta Boxy Saint Studio Supima Preto,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
